Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Bermuda,146.0,98.6,123.8,148.7,159.2,81.1
Switzerland,123.3,53.5,90.6,128.1,122.1,118.4
Norway,100.9,34.7,69.9,97.3,105.5,83.1
Iceland,94.9,41.9,70.1,90.2,99.4,77.1
Barbados,92.4,22.0,59.4,87.8,78.2,32.1
Jersey,92.0,65.3,79.5,76.9,94.6,79.1
Israel,88.1,33.9,62.7,76.7,95.3,75.6
Denmark,84.1,33.2,60.3,68.6,98.8,99.5
Bahamas,84.0,35.3,61.2,70.6,89.1,45.1
Singapore,84.0,66.4,75.8,77.1,61.2,91.3
Guernsey,83.6,54.0,69.7,76.8,90.0,71.6
Hong Kong,80.7,74.6,77.8,84.7,58.6,65.7
Luxembourg,80.5,60.1,70.9,74.7,88.8,98.8
Australia,77.7,36.8,58.6,77.4,73.0,104.6
Japan,77.0,25.9,53.0,81.3,45.4,87.1
Ireland,76.1,42.1,60.1,62.1,80.4,82.3
Netherlands,75.7,36.1,57.1,65.5,76.4,88.0
New Zealand,74.5,34.4,55.7,72.0,70.1,83.6
France,74.1,25.3,51.3,73.6,71.8,85.4
South Korea,73.2,20.0,48.3,92.0,42.1,76.9
Finland,73.2,25.9,51.0,65.2,77.6,91.0
Belgium,72.6,25.8,50.7,63.3,78.6,79.7
Sweden,71.7,25.9,50.2,65.8,72.6,98.1
Austria,71.0,27.1,50.5,65.9,66.0,77.3
Canada,70.2,34.3,53.4,70.0,67.9,88.0
United States,70.1,42.1,57.0,70.4,70.1,106.3
United Kingdom,69.7,31.8,51.9,56.6,76.8,88.8
Lebanon,69.6,24.8,48.6,66.8,54.2,35.1
Malta,67.8,29.7,50.0,59.6,72.4,44.2
Macao,66.8,43.0,55.6,67.9,51.3,69.3
Puerto Rico,66.5,18.4,44.0,69.6,55.6,72.8
Italy,66.5,20.6,44.9,58.0,70.6,61.7
Seychelles,65.9,32.4,50.2,61.5,77.0,19.4
Germany,65.6,27.6,47.8,52.3,60.9,103.1
Qatar,62.8,48.2,56.0,55.0,63.0,93.7
Taiwan,62.4,17.7,41.4,76.2,29.4,58.3
Cyprus,59.0,22.4,41.8,49.2,61.1,57.3
United Arab Emirates,58.3,43.3,51.3,46.7,61.5,92.2
Palestine,58.1,11.0,36.0,51.2,44.6,39.8
Maldives,57.7,30.2,44.8,56.6,34.7,28.6
Greece,56.2,12.7,35.8,44.7,52.2,39.7
Cuba,55.0,15.2,36.4,47.9,33.5,1.4
Trinidad And Tobago,54.9,16.0,36.6,54.0,53.7,38.5
Bahrain,54.8,29.2,42.8,44.6,48.9,61.4
Slovenia,53.9,17.9,37.0,47.7,46.7,59.5
Spain,53.9,21.3,38.6,45.7,54.0,70.0
Estonia,53.7,16.4,36.2,42.3,56.4,63.5
Yemen,53.1,6.7,31.4,67.1,24.7,14.4
Uruguay,52.1,13.9,34.2,44.0,49.4,30.1
Suriname,51.8,9.7,32.1,45.9,79.6,13.4
Panama,51.4,21.7,37.5,52.2,43.4,33.1
Belize,51.3,11.6,32.7,48.8,36.6,45.7
Saudi Arabia,50.4,11.7,32.2,42.6,35.5,91.8
Senegal,50.2,23.0,37.5,42.2,46.2,23.5
Jamaica,49.7,15.1,33.5,53.4,35.0,30.3
Oman,49.4,16.8,34.1,46.5,43.2,84.2
Jordan,49.2,9.2,30.5,40.8,41.2,31.3
Cambodia,49.1,15.7,33.4,50.6,22.9,13.3
Croatia,48.9,13.4,32.3,42.0,41.3,47.5
Kuwait,48.7,31.3,40.5,35.6,47.5,78.6
Latvia,48.5,11.8,31.3,38.4,42.1,51.6
Libya,48.3,12.9,31.7,54.0,34.1,33.2
Czech Republic,48.2,18.4,34.3,42.8,36.7,66.5
Portugal,47.9,20.7,35.2,39.0,40.3,46.8
Ethiopia,47.5,16.9,33.1,36.7,18.0,10.1
Ivory Coast,47.0,17.7,33.3,40.2,32.0,6.9
Costa Rica,47.0,14.7,31.9,45.5,41.7,39.9
Zimbabwe,45.7,8.8,28.4,39.9,38.1,19.1
Lithuania,45.6,15.0,31.3,36.2,46.6,58.7
Slovakia,44.7,16.1,31.3,39.7,36.1,54.7
El Salvador,44.4,13.2,29.8,44.3,35.5,21.2
Mauritius,44.1,11.0,28.6,45.6,33.4,29.6
Chile,43.9,13.5,29.7,38.9,43.3,33.3
Guatemala,43.5,15.6,30.4,41.9,32.6,26.4
Thailand,43.2,14.7,29.8,45.1,22.6,31.6
Venezuela,43.2,10.0,27.6,37.3,46.2,15.4
Fiji,43.2,17.8,31.3,48.1,37.4,35.9
South Africa,42.1,16.6,30.1,34.8,41.3,78.4
Dominican Republic,41.8,9.6,26.7,38.5,34.3,21.1
China,41.8,16.5,29.9,46.0,28.4,60.0
Hungary,40.7,11.9,27.2,35.2,32.8,52.0
Honduras,40.5,10.3,26.3,34.7,28.7,32.1
Botswana,40.2,10.2,26.1,35.2,42.5,62.6
Nicaragua,39.6,8.7,25.1,38.1,27.5,17.6
Cameroon,39.5,6.9,24.2,40.4,26.3,15.4
Poland,39.0,14.4,27.5,32.4,33.5,60.0
Montenegro,38.9,12.9,26.7,31.8,33.2,34.2
Bulgaria,38.4,9.1,24.6,34.0,32.4,46.0
Vietnam,37.5,13.2,26.1,38.7,20.0,29.4
Iran,37.4,17.0,27.9,29.5,25.2,18.0
Ecuador,37.3,11.3,25.1,34.5,28.6,31.8
Philippines,37.1,9.6,24.2,37.8,20.6,21.5
Malaysia,37.0,9.9,24.3,39.4,20.8,55.3
Serbia,36.2,8.7,23.3,28.2,29.2,37.8
Ghana,36.2,19.3,28.3,37.5,30.1,16.8
Bosnia And Herzegovina,36.1,6.8,22.4,31.1,25.3,44.1
Indonesia,35.9,9.8,23.6,38.3,17.7,21.1
Myanmar,35.7,21.2,28.9,37.6,20.0,13.8
Albania,35.5,8.5,22.8,29.3,25.8,30.2
Mexico,35.3,12.6,24.7,34.8,32.7,38.6
Russia,35.3,13.1,24.9,29.9,34.6,37.4
Romania,35.2,10.2,23.5,31.4,30.0,48.1
Bolivia,34.8,10.2,23.2,31.3,25.0,36.0
Mongolia,34.7,11.2,23.7,36.1,22.8,24.3
Argentina,34.7,7.7,22.0,28.2,33.3,30.7
Somalia,34.6,5.2,20.8,39.4,26.6,29.4
Iraq,34.5,10.6,23.3,30.5,28.3,40.9
Kenya,33.9,8.7,22.1,31.3,28.8,32.2
Armenia,33.9,11.6,23.4,27.6,30.5,28.9
Morocco,33.8,9.0,22.2,30.6,24.5,34.4
Uganda,33.5,9.2,22.1,31.0,24.8,11.4
Brazil,33.2,8.3,21.5,28.2,25.2,27.8
Bangladesh,33.1,4.4,19.7,30.4,21.7,25.3
Zambia,33.0,9.3,21.9,31.5,22.5,40.3
Tanzania,32.8,12.4,23.2,30.0,24.9,16.0
Peru,32.5,11.2,22.5,30.7,21.5,28.2
Rwanda,31.6,15.9,24.3,27.7,28.0,26.8
North Macedonia,31.4,6.1,19.5,27.0,21.0,35.4
Sri Lanka,31.3,8.2,20.5,37.7,17.3,19.3
Belarus,30.9,9.8,21.0,27.2,31.6,31.8
Ukraine,30.7,10.6,21.3,26.3,25.7,37.2
Nigeria,30.5,36.0,33.1,33.7,20.9,9.3
Moldova,30.3,8.7,20.2,25.0,27.1,33.4
Paraguay,30.2,10.0,20.8,25.4,24.2,26.1
Georgia,30.2,9.3,20.4,26.4,27.9,31.1
Azerbaijan,29.7,7.9,19.5,26.6,26.7,27.3
Egypt,29.5,5.8,18.4,27.4,23.4,21.5
Syria,28.8,5.2,17.7,29.3,22.8,6.6
Kazakhstan,28.7,9.4,19.7,25.3,27.2,32.2
Turkey,28.3,6.6,18.2,22.6,18.4,32.9
Nepal,28.3,4.0,16.9,26.4,20.4,23.0
Tunisia,27.9,5.3,17.3,27.4,16.0,27.8
Uzbekistan,27.3,9.3,18.9,26.8,24.2,22.4
Kosovo (Disputed Territory),27.1,8.0,18.1,24.8,19.5,43.9
Algeria,26.9,4.6,16.4,28.8,14.5,24.6
Colombia,26.7,8.2,18.0,23.5,19.4,28.9
India,24.4,5.3,15.5,26.4,17.6,49.7
Afghanistan,20.4,2.7,12.1,14.9,12.4,23.0
Pakistan,19.9,3.9,12.4,17.8,15.5,26.6
